NAME,COLOR_COMBINATION,DATE,MALE_PUPPIES,FEMALE_PUPPIES,TOTAL_PUPPIES
BLENMOON,sable & sable,3.5.2017,1,1,2
LELLUKAN,black and white & blue merle,3.5.2017,2,1,3
MUSTAN HELMEN,blue merle & tricolour,3.5.2017,0,1,1
BUMTSI BUM,blue merle & tricolour,1.5.2017,3,1,4
BLACK SARA'S,sable & sable,29.4.2017,3,1,4
HUNAJATASSUN,sable & sable,29.4.2017,1,3,4
COPYSTYLE,blue merle & tricolour,28.4.2017,2,2,4
PILVIMARJAN,blue merle & tricolour,27.4.2017,1,4,5
LÄHDERINTEEN,sable & sable,26.4.2017,3,2,5
PIKIKUONON,blue merle & tricolour,26.4.2017,1,3,4
PELTSUN,sable & sable,24.4.2017,1,1,2
PIKIKUONON,blue merle & tricolour,24.4.2017,2,3,5
USVAPILVEN,blue merle & tricolour,24.4.2017,0,1,1
